10:43:42 HTTP Request: HEAD https://huggingface.co/stabilityai/sd-vae-ft-mse/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
10:43:42 HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/stabilityai/sd-vae-ft-mse/31f26fdeee1355a5c34592e401dd41e45d25a493/config.json "HTTP/1.1 200 OK"
10:43:42 HTTP Request: HEAD https://huggingface.co/stabilityai/sd-vae-ft-mse/resolve/31f26fdeee1355a5c34592e401dd41e45d25a493/diffusion_pytorch_model.safetensors.index.json "HTTP/1.1 404 Not Found"
10:43:42 Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
12:13:45 [ep32 iter1500] loss=0.6976 latent=1.8498 same=0.6975 diff=0.0000 dist=3.1772 sil=0.0067 smo=0.6725 sync=0.0006 pos=0.6862 neg=0.1063 gan=0.3133 disc=0.2062 fm=0.2156 our=0.3512 d_pos=0.7297 d_neg=0.7414 delta_A=4.2167 dn=4.2167 grad_gen=1.2183 grad_our=0.0301
12:18:53 [ep32 iter1600] loss=0.5388 latent=1.3265 same=0.3075 diff=0.0000 dist=3.1967 sil=0.0054 smo=0.5432 sync=0.0189 pos=0.7011 neg=0.1671 gan=0.2895 disc=0.2117 fm=0.1394 our=0.3620 d_pos=0.7201 d_neg=0.7139 delta_A=4.4550 dn=4.4550 grad_gen=0.9890 grad_our=0.0254
12:24:25 [ep32 iter1700] loss=0.5502 latent=1.3994 same=0.3326 diff=0.0000 dist=4.3667 sil=0.0069 smo=0.6335 sync=0.0015 pos=0.8028 neg=0.2666 gan=0.3173 disc=0.2083 fm=0.1357 our=0.3471 d_pos=0.7086 d_neg=0.7231 delta_A=4.2838 dn=4.2838 grad_gen=0.5898 grad_our=0.0508
12:28:00 [ep32 iter1800] loss=0.5655 latent=1.3289 same=0.3653 diff=0.0000 dist=3.0434 sil=0.0058 smo=0.4597 sync=0.1111 pos=0.5830 neg=0.1400 gan=0.3009 disc=0.2072 fm=0.1314 our=0.3665 d_pos=0.7222 d_neg=0.7115 delta_A=4.3498 dn=4.3498 grad_gen=2.4665 grad_our=0.0312
12:32:52 [ep32 iter1900] loss=0.7115 latent=1.6203 same=0.5330 diff=0.0000 dist=4.1632 sil=0.0078 smo=0.5471 sync=0.2338 pos=0.7932 neg=0.6948 gan=0.3410 disc=0.2038 fm=0.1719 our=0.3581 d_pos=0.7344 d_neg=0.7346 delta_A=4.1660 dn=4.1660 grad_gen=0.6985 grad_our=0.0363
12:38:52 [ep32 iter2000] loss=0.6776 latent=1.5595 same=0.6511 diff=0.0000 dist=4.7653 sil=0.0061 smo=0.6902 sync=0.1881 pos=0.7514 neg=0.6363 gan=0.3121 disc=0.2074 fm=0.1618 our=0.3393 d_pos=0.7251 d_neg=0.7562 delta_A=3.8719 dn=3.8719 grad_gen=0.6268 grad_our=0.0384
12:44:20 [ep32 iter2100] loss=0.6283 latent=1.6180 same=0.7140 diff=0.0000 dist=3.2693 sil=0.0085 smo=0.6695 sync=0.0000 pos=0.7648 neg=0.0325 gan=0.3252 disc=0.2040 fm=0.1780 our=0.3558 d_pos=0.7291 d_neg=0.7320 delta_A=4.9041 dn=4.9041 grad_gen=1.1066 grad_our=0.0507
12:49:57 [ep32 iter2200] loss=1.0717 latent=1.6522 same=0.5070 diff=0.0000 dist=2.4477 sil=0.0055 smo=0.3628 sync=1.0445 pos=0.6973 neg=0.7128 gan=0.3486 disc=0.2084 fm=0.2233 our=0.3618 d_pos=0.7318 d_neg=0.7279 delta_A=3.7807 dn=3.7807 grad_gen=4.4364 grad_our=0.0349
12:55:34 [ep32 iter2300] loss=0.6510 latent=1.6316 same=0.4812 diff=0.0000 dist=4.7893 sil=0.0084 smo=0.8682 sync=0.0172 pos=0.7634 neg=0.3951 gan=0.2957 disc=0.2011 fm=0.2098 our=0.3483 d_pos=0.6901 d_neg=0.7042 delta_A=4.3334 dn=4.3334 grad_gen=2.2768 grad_our=0.0388
13:01:32 [ep32 iter2400] loss=0.5512 latent=1.4131 same=0.2868 diff=0.0000 dist=4.8515 sil=0.0068 smo=0.8520 sync=0.0006 pos=0.7736 neg=0.1381 gan=0.3225 disc=0.2032 fm=0.1378 our=0.3572 d_pos=0.6745 d_neg=0.6779 delta_A=4.6568 dn=4.6568 grad_gen=4.3648 grad_our=0.0433
