nohup: ignoring input
/home/jiweon/.conda/envs/adlip/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
latent: torch.Size([1, 4, 12, 12])
Loaded checkpoint: /home/jiweon/projects/ADLip2/results/batch2_alpha0.35_sync0.15_20260502_214513/best.pt
LatentSync loaded & frozen: /home/ihjung/MuseTalk/models/syncnet/latentsync_syncnet.pt
Our SyncNetTemporal loaded & frozen: /home/jiweon/projects/lip-sync-score/logs/syncnet_hdtf/checkpoints/best.pth
/home/jiweon/projects/ADLip2/train.py:417: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
train videos=317 samples=15850
val videos=39 samples=1950
  samples saved: epoch 0
/home/jiweon/projects/ADLip2/train.py:498: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
[DEBUG our input] z_out_A= torch.Size([2, 16, 4, 12, 12]) z_out_scaled std= 4.169476509094238 z_gt std= 4.16947603225708 mel_pos= torch.Size([2, 80, 52])
[ep1 iter1600] loss=0.9416 latent=1.5677 same=0.7337 diff=0.0000 diff_dist=7.2143 silence=0.0056 smooth=0.9806 dA=4.9805 dN=5.3711 dZ=0.0056 mouth=0.0000 sync=0.0000 our=1.0062 d_pos=1.4186 d_neg=1.4286 pos=0.4254 neg=0.0370 dn=4.9805
[ep1 iter1700] loss=0.9177 latent=1.5411 same=0.6063 diff=0.0000 diff_dist=5.2508 silence=0.0066 smooth=0.8133 dA=4.7031 dN=5.0703 dZ=0.0066 mouth=0.0000 sync=0.0146 our=1.0278 d_pos=1.4335 d_neg=1.4224 pos=0.4715 neg=0.2861 dn=4.7031
[ep1 iter1800] loss=0.8170 latent=1.3293 same=0.4846 diff=0.0000 diff_dist=7.4156 silence=0.0077 smooth=0.8583 dA=5.0977 dN=6.2500 dZ=0.0077 mouth=0.0000 sync=0.0167 our=1.0514 d_pos=1.4494 d_neg=1.4341 pos=0.4889 neg=0.0666 dn=5.0977
[ep1 iter1900] loss=0.9560 latent=1.6306 same=0.8498 diff=0.0000 diff_dist=2.8280 silence=0.0036 smooth=0.7608 dA=4.0781 dN=3.8926 dZ=0.0036 mouth=0.0000 sync=0.0000 our=1.0533 d_pos=1.4508 d_neg=1.4449 pos=0.4777 neg=0.1255 dn=4.0781
[ep1 iter2000] loss=0.9654 latent=1.6363 same=0.5990 diff=0.0000 diff_dist=4.5576 silence=0.0134 smooth=0.8469 dA=4.5195 dN=4.8398 dZ=0.0134 mouth=0.0000 sync=0.0000 our=1.0581 d_pos=1.4547 d_neg=1.4419 pos=0.6060 neg=0.1881 dn=4.5195
[ep1 iter2100] loss=0.8875 latent=1.4763 same=0.6114 diff=0.0000 diff_dist=4.3965 silence=0.0085 smooth=0.8208 dA=4.9102 dN=5.1562 dZ=0.0085 mouth=0.0000 sync=0.0000 our=1.0489 d_pos=1.4483 d_neg=1.4345 pos=0.5461 neg=0.3163 dn=4.9102
[ep1 iter2200] loss=1.1086 latent=1.9192 same=0.8995 diff=0.0000 diff_dist=2.9426 silence=0.0075 smooth=0.8553 dA=4.4062 dN=4.3789 dZ=0.0075 mouth=0.0000 sync=0.0270 our=0.9983 d_pos=1.4130 d_neg=1.4172 pos=0.5605 neg=0.2529 dn=4.4062
[ep1 iter2300] loss=1.0106 latent=1.7129 same=0.7068 diff=0.0000 diff_dist=5.9431 silence=0.0068 smooth=0.8182 dA=4.6094 dN=4.9297 dZ=0.0068 mouth=0.0000 sync=0.0806 our=1.0298 d_pos=1.4349 d_neg=1.4423 pos=0.4718 neg=0.0841 dn=4.6094
[ep1 iter2400] loss=0.9609 latent=1.5782 same=0.7325 diff=0.0000 diff_dist=3.1437 silence=0.0068 smooth=0.6919 dA=4.2383 dN=3.9473 dZ=0.0068 mouth=0.0000 sync=0.3567 our=1.0300 d_pos=1.4349 d_neg=1.4271 pos=0.3289 neg=0.4856 dn=4.2383
[ep1 iter2500] loss=0.8983 latent=1.5053 same=0.6702 diff=0.0000 diff_dist=2.3881 silence=0.0067 smooth=0.8027 dA=4.6445 dN=4.8945 dZ=0.0067 mouth=0.0000 sync=0.0000 our=1.0512 d_pos=1.4500 d_neg=1.4369 pos=0.6239 neg=0.1334 dn=4.6445
